"Year","Site","Longitude","Latitude","pollutant","mean.obs.value"
2005,"121290001",-84.1611,30.0925,"O3",0.0420542168674699
2005,"130150002",-84.9152,34.1034,"SO2",9.56716417910448
2005,"130210007",-83.6412,32.7772,"PM25",16.553781512605
2005,"130210007",-83.6411,32.7775,"EC",0.952466666666667
2005,"130210007",-83.6411,32.7775,"NH4",1.28245
2005,"130210007",-83.6411,32.7775,"NO3",0.599466666666667
2005,"130210007",-83.6411,32.7775,"OC",3.83230302876667
2005,"130210007",-83.6411,32.7775,"PM10",28.5084745762712
2005,"130210007",-83.6411,32.7775,"SO4",4.6364
2005,"130210012",-83.5436,32.8052,"PM25",14.182905982906
2005,"130210012",-83.5435,32.8054,"O3",0.0488625
2005,"130210013",-83.7887,32.828,"O3",0.047
2005,"130510014",-81.067,32.0621,"PM10",24.4385964912281
2005,"130510017",-81.1442,32.0928,"PM25",14.4228571428571
2005,"130510021",-81.0488,32.0692,"O3",0.0407836734693878
2005,"130510021",-81.0488,32.0692,"SO2",11.8850574712644
2005,"130510091",-81.162,32.1106,"PM25",14.8690909090909
2005,"130511002",-81.1304,32.0905,"PM10",24.5578947368421
2005,"130511002",-81.1304,32.0905,"SO2",19.9739884393064
2005,"130550001",-85.408,34.4743,"O3",0.0472049180327869
2005,"130550001",-85.408,34.4743,"PM10",16.1
2005,"130590001",-83.3722,33.9458,"EC",0.691321428571429
2005,"130590001",-83.3722,33.9458,"NH4",1.5625
2005,"130590001",-83.3722,33.9458,"NO3",1.04055357142857
2005,"130590001",-83.3722,33.9458,"OC",3.12626447263636
2005,"130590001",-83.3722,33.9458,"PM25",13.0076923076923
2005,"130590001",-83.3722,33.9458,"SO4",4.51660714285714
2005,"130590002",-83.3445,33.9179,"PM25",15.6612903225806
2005,"130590002",-83.3445,33.9181,"O3",0.048534693877551
2005,"130630091",-84.3911,33.6097,"PM25",16.5517857142857
2005,"130670003",-84.6075,34.0153,"PM25",16.384347826087
2005,"130670003",-84.6074,34.0155,"O3",0.0487959183673469
2005,"130670004",-84.6616,33.8992,"PM25",15.4621621621622
2005,"130690002",-82.7498,31.5131,"EC",0.4797
2005,"130690002",-82.7498,31.5131,"NH4",0.861683333333333
2005,"130690002",-82.7498,31.5131,"NO3",0.344633333333333
